Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_23,Class_24,Class_90,AWATER20,TRACTCE20,COUNTYFP20,MTFCC20,INTPTLAT20,BLOCKCE20,UACE20,STATEFP20,ALAND20,NAME20,UR20,FUNCSTAT20,INTPTLON20,GEOID20,system:index,UATYPE20
0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0,43400,1,G5040,38.9956075,1037,,10,23984,Block 1037,R,S,-75.4840789,100010434001037,00b40000000000001871,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0,42500,1,G5040,38.9242356,1037,,10,15229,Block 1037,R,S,-75.4281574,100010425001037,00b40000000000001948,
0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0,42207,1,G5040,39.062216,1037,,10,17245,Block 1037,R,S,-75.4734928,100010422071037,00b400000000000021a4,
0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.44,0.0,0.0,0.05,0,42100,1,G5040,39.0360148,1037,,10,440440,Block 1037,R,S,-75.5813001,100010421001037,00b400000000000026a3,
0.07,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.0,0.0,1.22,0.0,0.0,0.41,0,42900,1,G5040,38.8495476,1037,,10,1226141,Block 1037,R,S,-75.5574558,100010429001037,00b400000000000029bf,
0.06,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,1.84,0.0,0.0,0.9,0,42801,1,G5040,38.9676907,1037,,10,1837420,Block 1037,R,S,-75.6753268,100010428011037,00b40000000000002a1a,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0,43000,1,G5040,38.9216199,1037,,10,7165,Block 1037,R,S,-75.5802481,100010430001037,00b40000000000002bfc,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42802,1,G5040,39.014877,1037,,10,4353,Block 1037,R,S,-75.5733666,100010428021037,00b40000000000002e0d,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,43000,1,G5040,38.9201729,1038,,10,14521,Block 1038,R,S,-75.5814078,100010430001038,00b40000000000001a67,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0,42500,1,G5040,38.9242489,1038,,10,12269,Block 1038,R,S,-75.4270566,100010425001038,00b40000000000001d29,
